City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Deputatskiy,RU,69.3,139.9,-15.0,88,34,6.04,scattered clouds
154,Meulaboh,ID,4.14,96.13,77.34,88,100,3.98,overcast clouds
155,Ola,RU,59.58,151.28,31.35,92,100,8.63,overcast clouds
156,Tuatapere,NZ,-46.13,167.68,55.0,65,13,13.0,few clouds
157,Tautira,PF,-17.73,-149.15,82.4,69,40,11.41,scattered clouds
158,Hobart,AU,-42.88,147.33,73.0,56,0,9.17,clear sky
159,Janow Lubelski,PL,50.71,22.41,41.0,100,90,3.36,mist
160,Kirensk,RU,57.79,108.11,12.61,89,0,3.56,clear sky
161,Flinders,AU,-34.58,150.86,69.01,68,90,5.99,overcast clouds
162,Sept-Iles,CA,50.2,-66.38,37.99,93,100,5.82,light rain
163,Arraial Do Cabo,BR,-22.97,-42.03,68.56,75,11,16.13,few clouds
164,Ramkola,IN,26.9,83.84,60.8,100,40,4.56,mist
165,Alpena,US,45.06,-83.43,32.0,94,90,16.11,light snow
166,Clearlake,US,38.96,-122.63,75.0,20,0,1.01,clear sky
167,Hervey Bay,AU,-25.3,152.85,84.2,54,40,12.75,scattered clouds
168,Narsaq,GL,60.92,-46.05,21.2,73,0,5.82,clear sky
169,Saint-Georges,GD,12.06,-61.75,78.8,88,75,14.99,light rain
170,Hithadhoo,MV,-0.6,73.08,83.46,73,100,7.96,light rain
171,Sarangani,PH,5.4,125.46,84.09,72,100,6.49,overcast clouds
172,Lahaina,US,20.88,-156.68,87.8,83,90,6.93,overcast clouds
173,The Pas,CA,53.83,-101.25,35.6,74,1,8.05,clear sky
174,Khatanga,RU,71.97,102.5,5.68,95,100,6.51,overcast clouds
175,La Reforma,MX,25.08,-108.05,86.0,43,0,8.01,clear sky
176,Margate,GB,51.38,1.39,63.0,87,100,8.01,light rain
177,Qarqin,AF,37.42,66.04,50.94,40,0,7.09,clear sky
178,Nushki,PK,29.55,66.02,41.74,62,0,0.54,clear sky
179,Saldanha,ZA,-33.01,17.94,62.6,67,0,3.36,clear sky
180,Cambara,BR,-23.05,-50.07,62.1,67,0,11.68,clear sky
181,Ancud,CL,-41.87,-73.82,53.01,87,0,3.36,clear sky
182,Torrelavega,ES,43.35,-4.05,62.01,91,96,4.79,overcast clouds
183,Villaviciosa,ES,43.48,-5.44,66.0,68,39,5.21,scattered clouds
184,Cabra,ES,37.47,-4.44,53.6,87,0,2.46,clear sky
185,Bafra,TR,41.57,35.91,48.2,81,40,4.7,scattered clouds
186,Correntina,BR,-13.34,-44.64,71.19,89,100,3.83,overcast clouds
187,High Level,CA,58.52,-117.14,30.2,86,75,12.75,broken clouds
188,Chokurdakh,RU,70.63,147.92,-0.53,93,100,11.34,light snow
189,Phan Thiet,VN,10.93,108.1,78.12,80,100,4.25,overcast clouds
190,Fort Nelson,CA,58.81,-122.7,15.8,78,90,9.17,light snow
191,Norman Wells,CA,65.28,-126.83,6.8,77,75,8.05,broken clouds
192,Moratuwa,LK,6.77,79.88,78.8,88,20,2.24,few clouds
193,Aksarka,RU,66.56,67.8,24.24,96,1,12.55,clear sky
194,Tiarei,PF,-17.53,-149.33,82.4,69,40,11.41,scattered clouds
195,Corinto,GR,37.94,22.96,57.0,81,0,4.7,clear sky
196,Chapleau,CA,47.84,-83.4,21.2,67,75,16.11,broken clouds
